,bittrex,huobi,poloniex,price,top_address_1,top_address_2,top_address_3,top_address_4,top_address_5,top_address_7,date
78,0.0,0.0,835.22750715,1041.343,138755.97728979,0.0,9850.993157300001,0.0,103439.83659727,103439.83659727,2017-03-20
79,0.0,0.0,1622.34585188,1115.039,128160.35098163,0.0,9850.993157300001,0.0,103439.83659727,103439.83659727,2017-03-21
80,0.0,0.0,707.38411611,1037.44,126811.5595926,0.0,9850.993157300001,0.0,103439.83659727,103439.83659727,2017-03-22
81,0.0,0.0,1079.66209102,1029.95,124761.33743818,0.0,9850.993157300001,0.0,103439.83691142,103439.83691142,2017-03-23
82,0.0,0.0,2842.20533134,935.946,121888.61520277,0.0,12350.9931573,0.0,103439.83691142,103439.83691142,2017-03-24
83,0.0,0.0,1177.7925979,964.692,130876.24349778,0.0,12350.9931573,0.0,103439.83691142,103439.83691142,2017-03-25
84,0.0,0.0,2385.34948963,965.229,139029.91546705,0.0,12350.9931573,0.0,103439.83691142,103439.83691142,2017-03-26
85,0.0,0.0,2359.93483014,1040.491,144860.36428086,0.0,12350.9931573,0.0,103439.83691142,103439.83691142,2017-03-27
86,81.328,0.0,2937.03729549,1044.251,141287.86674079,0.0,15350.9931573,0.0,103439.83691142,103439.83691142,2017-03-28
87,67.506,0.0,1261.08692779,1040.392,138955.23568242,0.0,15350.9931573,0.0,103439.83691142,103439.83691142,2017-03-29
88,45.86,0.0,483.04448503,1037.527,139147.90325743,0.0,15350.9931573,0.0,103439.83691142,103439.83691142,2017-03-30
89,0.0,0.0,1472.81709243,1079.748,136753.43419462,0.0,15350.9931573,0.0,103439.83691142,103439.83691142,2017-03-31
90,0.0,0.0,2805.33655219,1089.511,137361.06384224,0.0,15350.9931573,0.0,128439.83691142,128439.83691142,2017-04-01
91,0.0,0.0,1276.0542233,1098.776,138357.56926935,0.0,15350.9931573,0.0,128439.83691142,128439.83691142,2017-04-02
92,0.0,0.0,10140.89978224,1147.631,131857.53270733,0.0,15350.9931573,0.0,128439.83691142,128439.83691142,2017-04-03
93,0.0,0.0,2933.18629554,1143.746,132982.08556733,0.0,15350.9931573,0.0,128439.83691142,128439.83691142,2017-04-04
94,0.0,0.0,263.33211968,1134.998,133598.08504256,0.0,15350.9931573,0.0,128439.83691142,128439.83691142,2017-04-05
95,0.0,0.0,1415.02825162,1190.597,133040.45258432,0.0,15350.9931573,0.0,128439.83691142,128439.83691142,2017-04-06
96,0.0,0.0,2692.27274726,1193.019,126798.93768823,0.0,15350.9931573,0.0,128439.83691142,128439.83691142,2017-04-07
97,0.0,0.0,1551.79507614,1184.824,126431.67824103,0.0,15350.9931573,0.0,128439.83691142,128439.83691142,2017-04-08
98,0.0,0.0,1967.32438719,1210.055,121431.66981771,0.0,15350.9931573,0.0,128439.83691142,128439.83691142,2017-04-09
99,0.0,0.0,3003.19765588,1213.339,120580.24610768,0.0,15350.9931573,0.0,128439.83691142,128439.83691142,2017-04-10
100,0.0,0.0,151.18350602,1224.767,122700.62848768,0.0,15350.9931573,0.0,128439.83691142,128439.83691142,2017-04-11
101,0.0,0.0,329.6895735,1216.505,122180.51431655,0.0,15350.9931573,0.0,128439.83691142,128439.83691142,2017-04-12
102,0.0,0.0,466.30870383,1178.533,121870.14204595,0.0,15350.9931573,0.0,128439.83691142,128439.83691142,2017-04-13
103,0.0,0.0,1411.21692853,1183.44,117842.78903381,0.0,15350.9931573,0.0,128439.83691142,128439.83691142,2017-04-14
104,0.0,0.0,1534.67582219,1180.699,115927.89589321,0.0,15350.9931573,0.0,128439.8370977,128439.8370977,2017-04-15
105,0.0,0.0,155.65833929,1184.787,112136.58705289,0.0,19350.993157299996,0.0,128439.8370977,128439.8370977,2017-04-16
106,0.0,0.0,5340.7554882,1203.731,110973.75571395,0.0,19350.993157299996,0.0,128439.8370977,128439.8370977,2017-04-17
107,0.0,0.0,2422.23967234,1217.596,102727.33415621,0.0,19350.993157299996,0.0,128439.8370977,128439.8370977,2017-04-18
108,0.0,0.0,1659.63041981,1226.939,92965.03910465,0.0,19350.993157299996,0.0,128439.8370977,128439.8370977,2017-04-19
109,0.0,0.0,2747.87348274,1255.403,91270.12361559,0.0,19350.993157299996,0.0,123439.8370977,123439.8370977,2017-04-20
110,0.0,0.0,3612.64386689,1257.135,76031.28584878,0.0,19350.993157299996,0.0,123439.8370977,123439.8370977,2017-04-21
111,0.0,0.0,3858.71092373,1244.375,73581.20156405,0.0,19350.993157299996,0.0,123439.8370977,123439.8370977,2017-04-22
112,0.0,0.0,246.28368851,1248.2175,75329.22917405,0.0,19350.993157299996,0.0,123439.8370977,123439.8370977,2017-04-23
113,0.0,0.0,394.6832557,1248.325,73717.62778189,0.0,19350.993157299996,0.0,123439.8370977,123439.8370977,2017-04-24
114,0.0,0.0,1161.9860359,1263.545,73599.54334137,0.0,19350.993157299996,0.0,123439.8370977,123439.8370977,2017-04-25
115,0.0,0.0,2365.07716374,1284.845,72599.54164027,0.0,19350.993157299996,0.0,123439.8370977,123439.8370977,2017-04-26
116,0.0,0.0,1622.88103602,1329.19,73225.33241646,0.0,19350.993157299996,0.0,117439.8370977,117439.8370977,2017-04-27
117,0.0,0.0,957.44006915,1320.0513,72967.15010267,0.0,21850.993157299996,0.0,117439.8370977,117439.8370977,2017-04-28
118,47.686,0.0,1916.02544399,1327.0388,72532.75728886,0.0,21850.993157299996,0.0,117439.8370977,117439.8370977,2017-04-29
119,0.0,0.0,926.87657595,1347.9588,69526.59518187,0.0,21850.993157299996,0.0,117439.8370977,117439.8370977,2017-04-30
120,0.0,0.0,2348.42050323,1402.0838,72893.09046187,0.0,21850.993157299996,0.0,117439.8370977,117439.8370977,2017-05-01
121,80.586,0.0,669.67806062,1443.6825,75379.97117187,0.0,21850.993157299996,0.0,117439.8370977,117439.8370977,2017-05-02
122,0.0,0.0,147.56332935,1491.9988,76548.95106187,0.0,21850.993157299996,0.0,117439.8370977,117439.8370977,2017-05-03
123,0.0,0.0,147.52317005,1515.6288,72570.26753791,0.0,21850.993157299996,0.0,117439.8370977,117439.8370977,2017-05-04
124,0.0,0.0,4174.91290882,1512.2088,78499.51033791,0.0,21850.993157299996,0.0,117439.8370977,117439.8370977,2017-05-05
125,0.0,0.0,499.33220427,1548.2863,84255.07890791,0.0,23350.993157299996,0.0,117439.8370977,117439.8370977,2017-05-06
